,graph,size,metric,time
0,erdos_renyi,10,degree,0.00022482872009277344
1,erdos_renyi,10,betweenness,0.0006375312805175781
2,erdos_renyi,10,closeness,0.0005178451538085938
3,erdos_renyi,10,eigenvector,0.0006487369537353516
4,erdos_renyi,10,pagerank,0.10445880889892578
5,erdos_renyi,10,harmonic,0.0006544589996337891
6,erdos_renyi,100,degree,0.0007507801055908203
7,erdos_renyi,100,betweenness,0.03551793098449707
8,erdos_renyi,100,closeness,0.009144067764282227
9,erdos_renyi,100,eigenvector,0.007276296615600586
10,erdos_renyi,100,pagerank,0.004817008972167969
11,erdos_renyi,100,harmonic,0.012022733688354492
12,erdos_renyi,1000,degree,0.007127046585083008
13,erdos_renyi,1000,betweenness,4.772221803665161
14,erdos_renyi,1000,closeness,1.0344648361206055
15,erdos_renyi,1000,eigenvector,0.0914921760559082
16,erdos_renyi,1000,pagerank,0.01631784439086914
17,erdos_renyi,1000,harmonic,1.3667912483215332
18,erdos_renyi,3000,degree,0.022280454635620117
19,erdos_renyi,3000,betweenness,52.90962743759155
20,erdos_renyi,3000,closeness,9.973811626434326
21,erdos_renyi,3000,eigenvector,0.27140021324157715
22,erdos_renyi,3000,pagerank,0.04231977462768555
23,erdos_renyi,3000,harmonic,13.454344272613525
