,graph,size,metric,time,error
237,complete,100,eigenvector,0.01311802864074707,
238,complete,100,pagerank,0.01945185661315918,
239,complete,100,harmonic,0.015145301818847656,
240,wheel,10,degree,7.152557373046875e-05,
241,wheel,10,betweenness,0.00039315223693847656,
242,wheel,10,closeness,0.00015425682067871094,
243,wheel,10,eigenvector,0.0002009868621826172,
244,wheel,10,pagerank,0.001712799072265625,
245,wheel,10,harmonic,0.00026345252990722656,
246,wheel,20,degree,0.00013947486877441406,
247,wheel,20,betweenness,0.0014603137969970703,
248,wheel,20,closeness,0.0004000663757324219,
249,wheel,20,eigenvector,0.00046372413635253906,
250,wheel,20,pagerank,0.0017735958099365234,
251,wheel,20,harmonic,0.0006699562072753906,
252,wheel,30,degree,0.00015878677368164062,
253,wheel,30,betweenness,0.0026891231536865234,
254,wheel,30,closeness,0.0007736682891845703,
255,wheel,30,eigenvector,0.0008296966552734375,
256,wheel,30,pagerank,0.0017294883728027344,
257,wheel,30,harmonic,0.0010838508605957031,
258,wheel,40,degree,0.00020194053649902344,
259,wheel,40,betweenness,0.005146026611328125,
260,wheel,40,closeness,0.0012278556823730469,
261,wheel,40,eigenvector,0.001138448715209961,
262,wheel,40,pagerank,0.001909017562866211,
263,wheel,40,harmonic,0.0017173290252685547,
264,wheel,50,degree,0.00025653839111328125,
265,wheel,50,betweenness,0.007703304290771484,
266,wheel,50,closeness,0.001909494400024414,
267,wheel,50,eigenvector,0.0016002655029296875,
268,wheel,50,pagerank,0.0020101070404052734,
269,wheel,50,harmonic,0.0025742053985595703,
270,wheel,60,degree,0.00030159950256347656,
271,wheel,60,betweenness,0.010988473892211914,
272,wheel,60,closeness,0.002337932586669922,
273,wheel,60,eigenvector,0.0019338130950927734,
274,wheel,60,pagerank,0.002084016799926758,
275,wheel,60,harmonic,0.003336191177368164,
276,wheel,70,degree,0.0003387928009033203,
277,wheel,70,betweenness,0.015146732330322266,
278,wheel,70,closeness,0.003397703170776367,
279,wheel,70,eigenvector,0.0024623870849609375,
280,wheel,70,pagerank,0.0021982192993164062,
281,wheel,70,harmonic,0.004554271697998047,
282,wheel,80,degree,0.0004010200500488281,
283,wheel,80,betweenness,0.018723249435424805,
284,wheel,80,closeness,0.004368305206298828,
285,wheel,80,eigenvector,0.0028634071350097656,
286,wheel,80,pagerank,0.0022072792053222656,
287,wheel,80,harmonic,0.005968332290649414,
288,wheel,90,degree,0.00047016143798828125,
289,wheel,90,betweenness,0.024221420288085938,
290,wheel,90,closeness,0.005214214324951172,
291,wheel,90,eigenvector,0.003496408462524414,
292,wheel,90,pagerank,0.002389669418334961,
293,wheel,90,harmonic,0.008111953735351562,
294,wheel,100,degree,0.0006201267242431641,
295,wheel,100,betweenness,0.02989816665649414,
296,wheel,100,closeness,0.0061397552490234375,
297,wheel,100,eigenvector,0.004134178161621094,
298,wheel,100,pagerank,0.0026977062225341797,
299,wheel,100,harmonic,0.008971452713012695,
